Número de trade;Instrumento;Cuenta;Estrategia;Mercado pos.;Cant.;Precio de entrada;Precio de salida;Tiempo de entrada;Tiempo de salida;Nombre de entrada;Nombre de salida;Ganancias;Con ganancia neto;Comisión;MAE;MFE;ETD;Barras;
1;MES JUN25;Sim101;ATM 1 - 3;Long;1;5017,00;5026,00;9/04/2025 9:22:36 a m;9/04/2025 9:22:56 a m;Entry;Target1;$ 45,00;$ 45,00;$ 0,00;$ 3,75;$ 47,50;$ 2,50;0;
2;MES JUN25;Sim101;MES ATM 1 -- 1,5;Short;3;5045,00;5023,50;9/04/2025 10:31:11 a m;9/04/2025 10:34:09 a m;Entry;Cerrar;$ 322,50;$ 367,50;$ 0,00;$ 15,00;$ 401,25;$ 78,75;0;
3;MES JUN25;Sim101;MES ATM 1 -- 1,5;Short;2;5045,00;5023,75;9/04/2025 10:31:11 a m;9/04/2025 10:34:09 a m;Entry;Cerrar;$ 212,50;$ 580,00;$ 0,00;$ 10,00;$ 267,50;$ 55,00;0;
4;MES JUN25;Sim101;MES ATM 1 -- 1,5;Long;2;5056,50;5065,50;9/04/2025 11:49:17 a m;9/04/2025 11:50:38 a m;Entry;Target1;$ 90,00;$ 670,00;$ 0,00;$ 25,00;$ 90,00;$ 0,00;0;
5;MES JUN25;Sim101;MES ATM 1 -- 1,5;Long;1;5056,25;5065,50;9/04/2025 11:49:17 a m;9/04/2025 11:50:38 a m;Entry;Target1;$ 46,25;$ 716,25;$ 0,00;$ 11,25;$ 46,25;$ 0,00;0;
6;MES JUN25;Sim101;MES ATM 1 -- 1,5;Long;1;5056,25;5065,50;9/04/2025 11:49:17 a m;9/04/2025 11:50:38 a m;Entry;Target1;$ 46,25;$ 762,50;$ 0,00;$ 11,25;$ 46,25;$ 0,00;0;
7;MES JUN25;Sim101;MES ATM 1 -- 1,5;Long;1;5056,25;5065,50;9/04/2025 11:49:17 a m;9/04/2025 11:50:38 a m;Entry;Target1;$ 46,25;$ 808,75;$ 0,00;$ 11,25;$ 46,25;$ 0,00;0;
8;MES JUN25;Sim101;ATM 1-3;Long;2;5355,00;5354,25;10/04/2025 9:45:09 a m;10/04/2025 9:46:10 a m;Entry;Cerrar;-$ 7,50;$ 801,25;$ 0,00;$ 92,50;$ 7,50;$ 15,00;0;
9;MES JUN25;Sim101;ATM 1-3;Short;1;5351,75;5343,25;10/04/2025 9:46:21 a m;10/04/2025 9:47:44 a m;Entry;Cerrar;$ 42,50;$ 843,75;$ 0,00;$ 15,00;$ 48,75;$ 6,25;0;
10;MES JUN25;Sim101;ATM 1-3;Short;1;5351,75;5343,25;10/04/2025 9:46:21 a m;10/04/2025 9:47:44 a m;Entry;Cerrar;$ 42,50;$ 886,25;$ 0,00;$ 15,00;$ 48,75;$ 6,25;0;
11;MES JUN25;Sim101;;Short;1;5338,25;5332,00;10/04/2025 9:48:59 a m;10/04/2025 9:56:09 a m;Entry;Cerrar;$ 31,25;$ 917,50;$ 0,00;$ 30,00;$ 62,50;$ 31,25;0;
12;MES JUN25;Sim101;;Short;1;5338,25;5332,00;10/04/2025 9:48:59 a m;10/04/2025 9:56:09 a m;Entry;Cerrar;$ 31,25;$ 948,75;$ 0,00;$ 30,00;$ 62,50;$ 31,25;0;
13;MES JUN25;Sim101;ATM 1-2;Short;1;5338,50;5308,50;10/04/2025 10:09:14 a m;10/04/2025 10:17:10 a m;Entry;Target1;$ 150,00;$ 1098,75;$ 0,00;$ 12,50;$ 152,50;$ 2,50;0;
14;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 225;Long;1;5223,75;5208,75;10/04/2025 11:40:13 a m;10/04/2025 11:46:02 a m;Entry;Stop1;-$ 75,00;$ 1023,75;$ 0,00;$ 75,00;$ 51,25;$ 126,25;0;
